SeqNo,Year,Month,Day,ms,HR,BR,Temp,Posture,Activity,Peak Accel,BattV,BrWaveAmp,ECGAmp,ECGNoise,XAccelMin,XAccelPeak,YAccelMin,YAccelPeak,ZAccelMin,ZAccelPeak,SysCh,GSR,SPO2,BloodPrs,AlmStatus,LEDStatus
0,2016,09,20,48443061,108,5,-3276.8,-10,0.02,0.06,4.12,433,1.08,2.98,-1.03,-0.96,-0.16,-0.08,0.08,0.18,0,65535,,,1,-24490
1,2016,09,20,48444058,108,4.5,-3276.8,-11,0.01,0.04,4.12,372,1.08,2.72,-1,-0.96,-0.16,-0.08,0.1,0.18,0,65535,,,1,-24490
2,2016,09,20,48445055,110,4.5,-3276.8,-11,0.01,0.06,4.12,324,1.08,2.46,-1,-0.97,-0.16,-0.08,0.09,0.18,0,65535,,,1,-24490
3,2016,09,20,48446061,111,4,-3276.8,-11,0.02,0.03,4.12,279,1.08,2.12,-1,-0.96,-0.16,-0.09,0.1,0.18,0,65535,,,1,-24490
4,2016,09,20,48447053,113,4,-3276.8,-10,0.01,0.04,4.12,242,1.08,1.84,-1,-0.96,-0.15,-0.08,0.1,0.18,0,65535,,,1,-24490
5,2016,09,20,48448058,115,3.6,-3276.8,-11,0.01,0.03,4.119,209,1.08,1.46,-1,-0.96,-0.16,-0.08,0.09,0.18,0,65535,,,1,-24490
6,2016,09,20,48449058,117,3.6,-3276.8,-10,0.06,0.04,4.118,182,1.08,1.76,-1,-0.96,-0.16,-0.08,0.1,0.18,0,65535,,,3,-24490
7,2016,09,20,48450058,118,3.3,-3276.8,-13,0.34,0.39,4.118,158,1.08,2.04,-1.02,-0.92,-0.15,0.32,0.13,0.33,0,65535,,,3,-24490
8,2016,09,20,48451061,119,3.3,-3276.8,-20,0.23,0.38,4.118,137,1.08,2.36,-0.96,-0.83,0.3,0.45,0.2,0.32,0,65535,,,3,-24490
9,2016,09,20,48452061,122,3,-3276.8,-21,0.11,0.31,4.118,121,1.08,2.4,-0.96,-0.8,0.37,0.5,0.22,0.37,0,65535,,,3,-24490
10,2016,09,20,48453058,123,3,-3276.8,-12,0.27,0.28,4.118,106,1.08,2.44,-1,-0.86,0,0.46,0.08,0.26,0,65535,,,3,-24490
11,2016,09,20,48454061,124,2.7,-3276.8,-8,0.18,0.36,4.118,91,1.08,1.9,-1.01,-0.96,-0.16,0.01,0.02,0.16,0,65535,,,3,-24490
12,2016,09,20,48455061,125,2.7,-3276.8,-7,0.09,0.2,4.118,79,1.08,1.56,-1.01,-0.97,-0.14,-0.06,0.09,0.18,0,65535,,,3,-24490
13,2016,09,20,48456056,125,2.5,-3276.8,-9,0.04,0.13,4.118,69,1.08,1.48,-1.01,-0.95,-0.15,-0.06,0.07,0.16,0,65535,,,3,-24490
14,2016,09,20,48457062,125,2.5,-3276.8,-9,0.04,0.08,4.118,61,1.08,1.66,-1.01,-0.97,-0.15,-0.03,0.07,0.18,0,65535,,,3,-24490
15,2016,09,20,48458062,126,2.4,-3276.8,-10,0.03,0.09,4.118,53,1.08,1.74,-1.02,-0.95,-0.19,-0.03,0.04,0.18,0,65535,,,3,-24490
16,2016,09,20,48459062,127,2.4,-3276.8,-10,0.01,0.07,4.118,46,1.08,1.28,-1.01,-0.96,-0.18,-0.06,0.04,0.16,0,65535,,,3,-24490
17,2016,09,20,48460062,127,2.3,-3276.8,-10,0.01,0.03,4.118,40,1.08,1.04,-1.01,-0.96,-0.15,-0.06,0.09,0.16,0,65535,,,3,-24490
18,2016,09,20,48461062,127,2.3,-3276.8,-10,0.01,0.04,4.117,35,1.08,0.88,-1,-0.96,-0.14,-0.04,0.1,0.18,0,65535,,,3,-24490
19,2016,09,20,48462062,127,2.3,-3276.8,-10,0.01,0.03,4.117,31,1.08,0.8,-1,-0.97,-0.15,-0.07,0.09,0.16,0,65535,,,3,-24490
20,2016,09,20,48463062,128,2.3,-3276.8,-10,0.03,0.06,4.117,27,1.08,0.92,-1,-0.95,-0.14,-0.07,0.1,0.21,0,65535,,,3,-24490
21,2016,09,20,48464062,128,2.1,-3276.8,-10,0.02,0.06,4.117,24,1.08,0.94,-1.01,-0.96,-0.14,-0.03,0.1,0.2,0,65535,,,3,-24490
22,2016,09,20,48465062,128,2.1,-3276.8,-10,0.02,0.06,4.117,21,1.08,1.32,-1,-0.96,-0.16,-0.06,0.1,0.18,0,65535,,,3,-24490
23,2016,09,20,48466062,128,1.9,-3276.8,-10,0.02,0.04,4.117,19,1.08,1.22,-1.01,-0.97,-0.15,-0.06,0.12,0.18,0,65535,,,3,-24490
24,2016,09,20,48467063,128,1.9,-3276.8,-10,0.02,0.06,4.117,17,1.08,1.78,-1.01,-0.97,-0.16,-0.04,0.13,0.18,0,65535,,,3,-24490
25,2016,09,20,48468059,129,1.7,-3276.8,-10,0.01,0.04,4.117,14,1.08,2.14,-1,-0.96,-0.16,-0.04,0.12,0.18,0,65535,,,3,-24490
26,2016,09,20,48469063,129,1.7,-3276.8,-10,0.01,0.03,4.117,13,1.08,2.04,-1,-0.97,-0.15,-0.07,0.12,0.18,0,65535,,,3,-24490
