SeqNo,Year,Month,Day,ms,HR,BR,Temp,Posture,Activity,Peak Accel,BattV,BrWaveAmp,ECGAmp,ECGNoise,XAccelMin,XAccelPeak,YAccelMin,YAccelPeak,ZAccelMin,ZAccelPeak,SysCh,GSR,SPO2,BloodPrs,AlmStatus,LEDStatus
0,2016,09,26,44520183,139,5.5,-3276.8,-4,0.02,0.04,4.067,1,0.9,1,-1.01,-0.96,0.04,0.15,-0.02,0.03,0,65535,,,1,-24499
1,2016,09,26,44521183,140,5.5,-3276.8,-3,0.02,0.06,4.067,1,0.9,0.92,-1.01,-0.97,0.02,0.13,-0.02,0.03,0,65535,,,1,-24499
2,2016,09,26,44522185,140,5.6,-3276.8,-3,0.02,0.04,4.067,1,0.9,0.7,-1.01,-0.97,0.01,0.09,0,0.03,0,65535,,,1,-24499
3,2016,09,26,44523186,139,5.6,-3276.8,-2,0.02,0.12,4.067,1,0.8,1.32,-1.06,-0.96,0.01,0.07,-0.02,0.16,0,65535,,,1,-24499
4,2016,09,26,44524186,139,5.9,-3276.8,-1,0.07,0.08,4.067,1,0.8,2.38,-1.01,-0.96,-0.01,0.12,-0.08,0.04,0,65535,,,1,-24499
5,2016,09,26,44525186,139,5.9,-3276.8,-4,0.2,0.45,4.067,3,1.02,3.26,-1.04,-0.93,-0.46,0.03,-0.02,0.2,0,65535,,,1,-24499
6,2016,09,26,44526187,139,6.5,-3276.8,-7,0.1,0.18,4.067,4,1.02,3.14,-1.01,-0.96,-0.07,0.14,0.06,0.19,0,65535,,,0,8269
7,2016,09,26,44527187,139,6.5,-3276.8,-8,0.1,0.18,4.067,3,1.04,3.98,-1.08,-0.96,-0.16,0.18,0.1,0.25,0,65535,,,1,-24499
8,2016,09,26,44528187,139,6.8,-3276.8,-4,0.11,0.19,4.067,3,1.04,5.56,-1.02,-0.93,-0.02,0.19,-0.04,0.21,0,65535,,,1,-24499
9,2016,09,26,44529187,139,6.8,-3276.8,-3,0.07,0.18,4.067,3,1.04,4.06,-1.06,-0.93,-0.13,0.02,-0.07,0.08,0,65535,,,1,-24499
10,2016,09,26,44530188,139,7.3,-3276.8,-3,0.04,0.08,4.067,3,1.04,2.62,-1.02,-0.96,-0.12,0.01,-0.01,0.08,0,65535,,,1,-24499
11,2016,09,26,44531187,138,7.3,-3276.8,-3,0.03,0.09,4.067,2,1.04,1.82,-1.03,-0.96,-0.15,0,-0.01,0.08,0,65535,,,1,-24499
12,2016,09,26,44532187,138,7.7,-3276.8,-3,0.02,0.06,4.067,2,1.04,1.54,-1.02,-0.97,-0.08,0.01,0,0.07,0,65535,,,1,-24499
13,2016,09,26,44533188,138,7.7,-3276.8,-2,0.02,0.04,4.067,2,1.04,3.96,-1.01,-0.97,-0.07,0.01,-0.01,0.06,0,65535,,,0,8269
14,2016,09,26,44534187,138,8.5,-3276.8,-1,0.03,0.07,4.067,2,1.04,4.36,-1.01,-0.97,-0.04,0.02,-0.03,0.08,0,65535,,,1,-24499
15,2016,09,26,44535186,138,8.5,-3276.8,-1,0.03,0.07,4.067,2,1.04,4,-1.02,-0.96,-0.02,0.07,-0.02,0.06,0,65535,,,1,-24499
16,2016,09,26,44536189,138,9.1,-3276.8,-1,0.03,0.07,4.067,2,1.04,3.38,-1.01,-0.97,0.01,0.08,0,0.09,0,65535,,,1,-24499
17,2016,09,26,44537183,138,9.1,-3276.8,-1,0.01,0.04,4.067,2,1.04,1.82,-1.01,-0.97,0.01,0.07,0,0.07,0,65535,,,1,-24499
18,2016,09,26,44538187,138,9.4,-3276.8,-1,0.05,0.07,4.067,2,1.04,1.62,-1.02,-0.97,-0.03,0.08,-0.06,0.07,0,65535,,,1,-24499
19,2016,09,26,44539187,138,9.4,-3276.8,-2,0.06,0.13,4.067,2,1.04,1.44,-1.02,-0.97,-0.12,-0.01,-0.02,0.14,0,65535,,,1,-24499
20,2016,09,26,44540187,138,9.7,-3276.8,-2,0.01,0.06,4.067,2,1.04,0.94,-1.01,-0.97,-0.1,0.01,0,0.08,0,65535,,,1,-24499
21,2016,09,26,44541187,138,9.7,-3276.8,-2,0.01,0.04,4.067,2,1.04,0.6,-1.01,-0.97,-0.06,0.02,0,0.08,0,65535,,,1,-24499
22,2016,09,26,44542188,138,9.9,-3276.8,-2,0.01,0.03,4.067,2,1.04,0.48,-1.02,-0.96,-0.04,0.01,0,0.07,0,65535,,,1,-24499
23,2016,09,26,44543187,138,9.9,-3276.8,-1,0.01,0.04,4.067,2,1.04,0.44,-1.01,-0.96,-0.04,0.02,0,0.07,0,65535,,,1,-24499
24,2016,09,26,44544187,138,9.8,-3276.8,-2,0.01,0.03,4.067,1,1.04,0.36,-1.01,-0.97,-0.07,0,0,0.07,0,65535,,,1,-24499
25,2016,09,26,44545188,138,9.8,-3276.8,-2,0.01,0.03,4.067,1,0.8,0.3,-1,-0.97,-0.04,0.01,0.01,0.08,0,65535,,,1,-24499
26,2016,09,26,44546189,138,9.4,-3276.8,-1,0.01,0.03,4.067,1,0.8,0.28,-1.01,-0.97,-0.03,0.02,0,0.07,0,65535,,,1,-24499
27,2016,09,26,44547191,138,9.4,-3276.8,-2,0.01,0.03,4.067,1,0.56,0.28,-1.01,-0.97,-0.04,0.01,0,0.08,0,65535,,,1,-24499
28,2016,09,26,44548189,138,9.1,-3276.8,-2,0.01,0.03,4.067,1,0.56,0.32,-1.01,-0.96,-0.06,0.01,0,0.08,0,65535,,,1,-24499
29,2016,09,26,44549189,138,9.1,-3276.8,-2,0.01,0.03,4.067,1,0.56,0.62,-1.01,-0.96,-0.02,0.02,0.01,0.07,0,65535,,,0,8269
30,2016,09,26,44550191,138,8.8,-3276.8,-2,0.01,0.04,4.067,1,0.56,0.54,-1.01,-0.97,-0.02,0.02,0.01,0.09,0,65535,,,1,-24499
31,2016,09,26,44551189,138,8.8,-3276.8,-2,0.01,0.03,4.067,1,0.56,0.46,-1.01,-0.97,-0.01,0.03,0.01,0.08,0,65535,,,1,-24499
32,2016,09,26,44552191,138,8.5,-3276.8,-2,0.01,0.03,4.067,1,0.56,0.42,-1.01,-0.97,-0.02,0.02,0,0.08,0,65535,,,1,-24499
33,2016,09,26,44553191,138,8.5,-3276.8,-2,0.01,0.03,4.067,1,0.54,0.36,-1.02,-0.97,-0.03,0.03,0.01,0.08,0,65535,,,1,-24499
34,2016,09,26,44554189,137,8,-3276.8,-2,0.01,0.03,4.067,1,0.54,0.32,-1.03,-0.97,-0.01,0.03,0,0.08,0,65535,,,1,-24499
35,2016,09,26,44555192,137,8,-3276.8,-2,0.01,0.04,4.067,1,0.54,0.32,-1.01,-0.97,-0.02,0.03,0,0.1,0,65535,,,1,-24499
36,2016,09,26,44556192,137,7.5,-3276.8,-2,0.01,0.03,4.067,1,0.54,0.32,-1,-0.97,-0.03,0.03,0.01,0.09,0,65535,,,1,-24499
37,2016,09,26,44557191,137,7.5,-3276.8,-2,0.01,0.03,4.067,1,0.62,0.32,-1,-0.96,-0.02,0.03,0.01,0.08,0,65535,,,1,-24499
38,2016,09,26,44558187,138,7,-3276.8,-2,0.01,0.03,4.067,1,0.62,0.3,-1.01,-0.97,-0.03,0.02,0,0.08,0,65535,,,1,-24499
39,2016,09,26,44559191,139,7,-3276.8,-2,0.01,0.03,4.067,1,0.58,0.3,-1.02,-0.97,-0.02,0.02,0,0.08,0,65535,,,1,-24499
40,2016,09,26,44560192,139,6.6,-3276.8,-2,0.01,0.04,4.067,0,0.58,0.3,-1.02,-0.97,-0.01,0.06,0,0.08,0,65535,,,1,-24499
41,2016,09,26,44561186,139,6.6,-3276.8,-2,0.01,0.03,4.067,1,0.68,0.3,-1.01,-0.97,-0.01,0.03,0,0.07,0,65535,,,1,-24499
42,2016,09,26,44562191,140,6.3,-3276.8,-2,0.01,0.04,4.067,1,0.68,0.38,-1.01,-0.96,-0.01,0.03,-0.01,0.08,0,65535,,,1,-24499
43,2016,09,26,44563191,140,6.3,-3276.8,-2,0.01,0.03,4.067,1,0.98,0.32,-1.02,-0.97,-0.02,0.03,0.01,0.07,0,65535,,,1,-24499
44,2016,09,26,44564190,141,6.3,-3276.8,-2,0.01,0.03,4.067,1,0.98,0.32,-1.01,-0.96,0,0.04,0.01,0.08,0,65535,,,1,-24499
45,2016,09,26,44565193,141,6.3,-3276.8,-2,0.02,0.06,4.067,1,0.98,0.36,-1.01,-0.96,-0.01,0.08,0,0.1,0,65535,,,1,-24499
46,2016,09,26,44566186,140,6.2,-3276.8,-2,0.01,0.06,4.067,1,0.98,0.36,-1.01,-0.97,0,0.07,0.01,0.1,0,65535,,,1,-24499
47,2016,09,26,44567187,140,6.2,-3276.8,-2,0.01,0.03,4.067,1,0.72,0.32,-1.01,-0.97,0.01,0.07,0.01,0.08,0,65535,,,1,-24499
