SeqNo,Year,Month,Day,ms,HR,BR,Temp,Posture,Activity,Peak Accel,BattV,BrWaveAmp,ECGAmp,ECGNoise,XAccelMin,XAccelPeak,YAccelMin,YAccelPeak,ZAccelMin,ZAccelPeak,SysCh,GSR,SPO2,BloodPrs,AlmStatus,LEDStatus
0,2016,09,26,53976469,0,20.5,-3276.8,14,0.02,0.16,4.038,12,0.8,0.78,-0.98,-0.91,0.24,0.38,-0.14,-0.02,0,65535,,,0,8265
1,2016,09,26,53977463,0,20.5,-3276.8,17,0.07,0.06,4.038,11,0.8,0.34,-1,-0.95,0.22,0.32,-0.12,-0.01,0,65535,,,0,8265
2,2016,09,26,53978467,0,20,-3276.8,17,0.05,0.14,4.038,10,0.8,0.14,-0.98,-0.92,0.25,0.42,-0.15,-0.01,0,65535,,,0,8265
3,2016,09,26,53979467,0,20,-3276.8,18,0.06,0.1,4.038,10,0.8,2.86,-0.98,-0.9,0.21,0.39,-0.18,0.03,0,65535,,,0,8265
4,2016,09,26,53980467,0,19.2,-3276.8,18,0.02,0.12,4.038,9,0.8,1.32,-1.06,-0.85,0.27,0.43,-0.12,0.03,0,65535,,,0,8265
5,2016,09,26,53981467,0,19.2,-3276.8,17,0.03,0.06,4.038,8,0.8,0.56,-0.97,-0.93,0.26,0.36,-0.12,-0.02,0,65535,,,0,8265
6,2016,09,26,53982469,0,18.2,-3276.8,19,0.05,0.12,4.038,9,0.8,2.92,-1,-0.92,0.24,0.42,-0.14,0.03,0,65535,,,0,8265
7,2016,09,26,53983468,0,18.2,-3276.8,21,0.04,0.08,4.038,10,0.8,1.26,-0.97,-0.87,0.32,0.43,-0.13,-0.01,0,65535,,,0,8265
8,2016,09,26,53984468,0,17,-3276.8,21,0.02,0.07,4.038,10,0.8,0.58,-0.97,-0.92,0.36,0.43,-0.1,-0.02,0,65535,,,0,8265
9,2016,09,26,53985469,0,17,-3276.8,20,0.03,0.04,4.038,9,0.8,6.98,-0.96,-0.92,0.33,0.43,-0.09,-0.02,0,65535,,,0,8265
10,2016,09,26,53986468,0,16.2,-3276.8,18,0.05,0.12,4.038,9,0.8,3.22,-1.14,-0.93,0.26,0.37,-0.09,0,0,65535,,,0,8265
11,2016,09,26,53987468,0,16.2,-3276.8,17,0.05,0.08,4.038,9,0.8,2.98,-0.98,-0.93,0.22,0.31,-0.07,0,0,65535,,,0,-24503
12,2016,09,26,53988468,0,15.5,-3276.8,15,0.03,0.08,4.038,9,0.8,6.04,-0.98,-0.95,0.21,0.27,-0.08,0,0,65535,,,0,8265
13,2016,09,26,53989468,0,15.5,-3276.8,15,0.02,0.04,4.038,9,0.8,4.8,-1,-0.95,0.21,0.28,-0.06,0,0,65535,,,0,8265
14,2016,09,26,53990469,0,14.5,-3276.8,15,0.02,0.04,4.038,7,0.8,4.52,-1,-0.95,0.21,0.27,-0.08,0,0,65535,,,0,8265
15,2016,09,26,53991468,0,14.5,-3276.8,14,0.01,0.06,4.038,7,0.8,1.94,-0.98,-0.95,0.21,0.28,-0.1,-0.03,0,65535,,,0,8265
16,2016,09,26,53992468,0,13.4,-3276.8,14,0.01,0.03,4.038,7,0.8,0.9,-0.98,-0.96,0.21,0.28,-0.09,-0.02,0,65535,,,0,8265
17,2016,09,26,53993469,0,13.4,-3276.8,13,0.01,0.04,4.038,6,0.8,0.38,-0.98,-0.95,0.21,0.28,-0.1,-0.01,0,65535,,,0,8265
18,2016,09,26,53994468,0,12.6,-3276.8,13,0.01,0.03,4.038,6,0.8,1.18,-1.01,-0.95,0.21,0.27,-0.08,-0.02,0,65535,,,0,8265
19,2016,09,26,53995469,60,12.6,-3276.8,13,0.01,0.03,4.038,6,0.8,0.62,-1,-0.95,0.2,0.26,-0.09,-0.01,0,65535,,,0,8265
20,2016,09,26,53996469,54,12,-3276.8,13,0.01,0.02,4.038,6,9.604,1.2,-1,-0.95,0.21,0.27,-0.07,-0.01,0,65535,,,0,-24503
21,2016,09,26,53997468,44,12,-3276.8,13,0.01,0.03,4.038,5,9.604,2.06,-0.98,-0.95,0.21,0.27,-0.09,-0.01,0,65535,,,0,8265
22,2016,09,26,53998469,39,11.4,-3276.8,13,0.04,0.1,4.038,5,9.544,5.54,-1.01,-0.95,0.18,0.27,-0.15,0.07,0,65535,,,0,8265
23,2016,09,26,53999468,37,11.4,-3276.8,12,0.03,0.08,4.038,5,9.544,2.38,-1.01,-0.92,0.19,0.3,-0.09,0.06,0,65535,,,0,8265
24,2016,09,26,54000468,36,11.2,-3276.8,13,0.02,0.08,4.038,5,0.8,1.16,-1.01,-0.96,0.19,0.26,-0.04,0.07,0,65535,,,0,8265
25,2016,09,26,54001468,35,11.2,-3276.8,14,0.02,0.04,4.038,5,0.8,0.66,-1,-0.95,0.21,0.3,-0.06,0.01,0,65535,,,3,-24503
26,2016,09,26,54002467,32,10.9,-3276.8,14,0.01,0.06,4.038,5,0.66,0.48,-0.98,-0.95,0.22,0.3,-0.06,0,0,65535,,,3,-24503
27,2016,09,26,54003471,34,10.9,-3276.8,15,0.02,0.06,4.038,5,0.66,0.4,-0.98,-0.95,0.21,0.32,-0.06,0.01,0,65535,,,3,-24503
28,2016,09,26,54004469,35,10.8,-3276.8,15,0.01,0.07,4.038,5,0.66,1.24,-1,-0.95,0.21,0.31,-0.08,0.03,0,65535,,,3,-24503
29,2016,09,26,54005471,36,10.8,-3276.8,15,0.01,0.03,4.038,5,0.66,4.46,-0.98,-0.93,0.22,0.28,-0.04,0.01,0,65535,,,0,8265
