SeqNo,Year,Month,Day,ms,HR,BR,Temp,Posture,Activity,Peak Accel,BattV,BrWaveAmp,ECGAmp,ECGNoise,XAccelMin,XAccelPeak,YAccelMin,YAccelPeak,ZAccelMin,ZAccelPeak,SysCh,GSR,SPO2,BloodPrs,AlmStatus,LEDStatus
0,2016,09,26,61377380,52,14.2,-3276.8,-33,0.03,0.08,3.962,6,5.1,2.94,-0.89,-0.78,0.54,0.61,-0.08,0.07,0,65535,,,0,-24516
1,2016,09,26,61378385,52,14.2,-3276.8,-35,0.05,0.13,3.962,6,5.1,3.24,-0.9,-0.77,0.56,0.65,-0.02,0.14,0,65535,,,1,-24516
2,2016,09,26,61379385,51,13.1,-3276.8,-36,0.02,0.06,3.962,6,5.1,1.7,-0.85,-0.78,0.57,0.65,-0.01,0.07,0,65535,,,1,-24516
3,2016,09,26,61380387,51,13.1,-3276.8,-36,0.01,0.03,3.962,7,5.1,1.56,-0.86,-0.78,0.56,0.62,-0.01,0.04,0,65535,,,1,-24516
4,2016,09,26,61381382,51,12.1,-3276.8,-35,0.02,0.07,3.962,7,5.1,2.52,-0.9,-0.79,0.54,0.6,-0.03,0.06,0,65535,,,1,-24516
5,2016,09,26,61382385,51,12.1,-3276.8,-34,0.02,0.06,3.962,6,5.1,1.82,-0.9,-0.81,0.54,0.61,-0.01,0.04,0,65535,,,1,-24516
6,2016,09,26,61383385,51,11.2,-3276.8,-34,0.01,0.03,3.962,5,3.58,1.8,-0.89,-0.8,0.54,0.59,-0.02,0.03,0,65535,,,1,-24516
7,2016,09,26,61384386,51,11.2,-3276.8,-33,0.01,0.04,3.962,5,3.58,1.1,-0.9,-0.79,0.54,0.6,-0.02,0.03,0,65535,,,1,-24516
8,2016,09,26,61385385,51,10.4,-3276.8,-33,0.03,0.07,3.962,5,3.58,2.64,-0.9,-0.78,0.54,0.6,-0.06,0.04,0,65535,,,1,-24516
9,2016,09,26,61386386,51,10.4,-3276.8,-33,0.01,0.03,3.962,5,3.58,2.2,-0.87,-0.8,0.54,0.6,-0.01,0.04,0,65535,,,1,-24516
10,2016,09,26,61387386,51,10,-3276.8,-33,0.03,0.03,3.962,4,3.58,1.98,-0.87,-0.8,0.54,0.6,-0.01,0.04,0,65535,,,1,-24516
11,2016,09,26,61388386,51,10,-3276.8,-33,0.03,0.08,3.962,4,3.58,2.38,-0.91,-0.78,0.53,0.61,-0.04,0.08,0,65535,,,0,8252
