SeqNo,Year,Month,Day,ms,HR,BR,Temp,Posture,Activity,Peak Accel,BattV,BrWaveAmp,ECGAmp,ECGNoise,XAccelMin,XAccelPeak,YAccelMin,YAccelPeak,ZAccelMin,ZAccelPeak,SysCh,GSR,SPO2,BloodPrs,AlmStatus,LEDStatus
0,2016,09,26,59481058,95,6.9,-3276.8,-26,0.03,0.12,4.03,2638,9.504,12.94,-0.96,-0.87,0.38,0.5,0,0.18,0,65535,,,0,8263
1,2016,09,26,59482055,95,6.9,-3276.8,-24,0.02,0.07,4.029,2291,9.504,9.32,-0.96,-0.9,0.37,0.46,0,0.13,0,65535,,,0,8263
2,2016,09,26,59483059,95,7.2,-3276.8,-24,0.02,0.06,4.029,1966,54.82,6.86,-0.96,-0.89,0.39,0.46,0.03,0.14,0,65535,,,0,-24505
3,2016,09,26,59484053,95,7.2,-3276.8,-24,0.02,0.06,4.028,1708,54.82,6.12,-0.96,-0.91,0.39,0.46,0.04,0.14,0,65535,,,0,-24505
4,2016,09,26,59485058,0,7.7,-3276.8,-24,0.02,0.06,4.026,1466,0.8,3.1,-0.96,-0.9,0.39,0.48,0.06,0.15,0,65535,,,1,-24505
5,2016,09,26,59486058,0,7.7,-3276.8,-25,0.02,0.06,4.018,1273,0.8,5.32,-0.96,-0.9,0.4,0.45,0.08,0.15,0,65535,,,1,-24507
6,2016,09,26,59487057,70,6.9,-3276.8,-25,0.02,0.04,4.017,1095,0.8,6.08,-0.96,-0.91,0.38,0.46,0.08,0.16,0,65535,,,1,-24507
7,2016,09,26,59488058,80,6.9,-3276.8,-25,0.02,0.04,4.016,952,22.82,5.34,-0.96,-0.9,0.39,0.46,0.09,0.16,0,65535,,,0,8261
8,2016,09,26,59489061,84,6.5,-3276.8,-24,0.02,0.06,4.016,817,22.82,3.48,-0.96,-0.9,0.4,0.49,0.09,0.18,0,65535,,,0,-24507
9,2016,09,26,59490058,86,6.5,-3276.8,-25,0.01,0.04,4.016,709,20.5,3.4,-0.96,-0.91,0.38,0.44,0.12,0.18,0,65535,,,0,-24507
10,2016,09,26,59491062,87,6.2,-3276.8,-25,0.01,0.03,4.016,609,20.5,1.92,-0.96,-0.91,0.38,0.44,0.13,0.18,0,65535,,,0,8261
