SeqNo,Year,Month,Day,ms,HR,BR,Temp,Posture,Activity,Peak Accel,BattV,BrWaveAmp,ECGAmp,ECGNoise,XAccelMin,XAccelPeak,YAccelMin,YAccelPeak,ZAccelMin,ZAccelPeak,SysCh,GSR,SPO2,BloodPrs,AlmStatus,LEDStatus
0,2016,09,26,60346197,56,12.6,-3276.8,-29,0.02,0.04,3.991,4,3.8,3.86,-0.93,-0.85,0.46,0.54,0.02,0.12,0,65535,,,1,-24511
1,2016,09,26,60347198,56,12.4,-3276.8,-29,0.02,0.04,3.991,4,3.8,3.3,-0.92,-0.85,0.46,0.56,0.02,0.12,0,65535,,,1,-24511
2,2016,09,26,60348198,56,12.4,-3276.8,-30,0.02,0.04,3.991,3,3.8,4.78,-0.92,-0.84,0.49,0.56,0.02,0.12,0,65535,,,1,-24511
3,2016,09,26,60349200,56,11.5,-3276.8,-31,0.06,0.1,3.991,3,3.8,3.54,-0.97,-0.79,0.49,0.59,0.02,0.15,0,65535,,,0,8257
4,2016,09,26,60350196,56,11.5,-3276.8,-33,0.06,0.18,3.991,3,3.8,8.86,-0.89,-0.77,0.54,0.66,-0.02,0.2,0,65535,,,0,8257
5,2016,09,26,60351196,56,10.9,-3276.8,-33,0.04,0.07,3.989,3,3.8,9.42,-0.92,-0.79,0.53,0.6,0.02,0.14,0,65535,,,0,8256
6,2016,09,26,60352197,55,10.9,-3276.8,-31,0.06,0.12,3.989,3,3.8,8.34,-0.96,-0.79,0.45,0.57,0.01,0.18,0,65535,,,0,8256
7,2016,09,26,60353196,55,10.5,-3276.8,-33,0.04,0.08,3.988,3,3.8,7,-0.93,-0.78,0.48,0.59,0.07,0.18,0,65535,,,1,-24512
8,2016,09,26,60354196,56,10.5,-3276.8,-31,0.06,0.13,3.987,3,3.8,7.8,-0.96,-0.78,0.4,0.59,0.02,0.18,0,65535,,,0,8256
9,2016,09,26,60355197,56,10.3,-3276.8,-29,0.05,0.09,3.987,4,3.8,6.74,-0.96,-0.89,0.43,0.51,0.03,0.12,0,65535,,,0,-24512
10,2016,09,26,60356196,55,10.3,-3276.8,-29,0.08,0.18,3.987,4,3.8,14.94,-0.97,-0.78,0.39,0.57,-0.09,0.18,0,65535,,,0,8256
11,2016,09,26,60357196,55,10.2,-3276.8,-27,0.05,0.12,3.987,4,3.8,11.86,-0.96,-0.8,0.39,0.54,-0.01,0.21,0,65535,,,0,8256
12,2016,09,26,60358199,55,10.2,-3276.8,-27,0.03,0.08,3.987,4,3.8,9.74,-0.96,-0.89,0.43,0.5,0.04,0.18,0,65535,,,0,-24512
13,2016,09,26,60359197,56,10.4,-3276.8,-27,0.01,0.06,3.987,4,3.8,6.72,-0.96,-0.89,0.43,0.5,0.06,0.16,0,65535,,,0,-24512
14,2016,09,26,60360198,56,10.4,-3276.8,-27,0.02,0.04,3.987,3,3.8,4.88,-0.96,-0.89,0.43,0.5,0.04,0.14,0,65535,,,0,-24512
15,2016,09,26,60361199,56,10.5,-3276.8,-27,0.02,0.04,3.987,3,3.8,4.88,-0.95,-0.9,0.43,0.5,0.03,0.14,0,65535,,,1,-24512
16,2016,09,26,60362198,56,10.5,-3276.8,-27,0.02,0.04,3.987,3,3.8,5.14,-0.96,-0.87,0.44,0.53,0.04,0.15,0,65535,,,1,-24512
17,2016,09,26,60363198,56,11,-3276.8,-27,0.01,0.04,3.987,3,3.8,4.56,-0.96,-0.9,0.42,0.49,0.04,0.13,0,65535,,,1,-24512
18,2016,09,26,60364201,56,11,-3276.8,-27,0.02,0.04,3.987,3,3.8,4.54,-0.96,-0.87,0.43,0.51,0.04,0.14,0,65535,,,1,-24512
19,2016,09,26,60365199,56,11.4,-3276.8,-27,0.02,0.07,3.987,3,3.8,4.3,-0.96,-0.85,0.43,0.51,0.02,0.14,0,65535,,,1,-24512
20,2016,09,26,60366199,56,11.4,-3276.8,-27,0.02,0.06,3.986,4,3.8,4.74,-0.95,-0.87,0.43,0.53,0.02,0.12,0,65535,,,1,-24512
21,2016,09,26,60367199,56,11.7,-3276.8,-27,0.02,0.04,3.986,5,3.8,3.4,-0.95,-0.86,0.45,0.53,0.04,0.13,0,65535,,,1,-24512
22,2016,09,26,60368201,56,11.7,-3276.8,-29,0.03,0.09,3.986,6,3.8,3.42,-0.95,-0.8,0.45,0.55,0.03,0.13,0,65535,,,1,-24512
23,2016,09,26,60369201,57,11.7,-3276.8,-29,0.02,0.06,3.986,6,3.8,4.3,-0.93,-0.83,0.46,0.56,0.03,0.12,0,65535,,,1,-24512
24,2016,09,26,60370202,57,11.7,-3276.8,-31,0.03,0.07,3.986,5,3.8,3.1,-0.92,-0.83,0.48,0.57,0.06,0.14,0,65535,,,1,-24512
25,2016,09,26,60371203,57,11.8,-3276.8,-32,0.04,0.07,3.986,5,3.8,2.14,-0.9,-0.8,0.53,0.61,0.03,0.13,0,65535,,,1,-24512
26,2016,09,26,60372202,57,11.8,-3276.8,-32,0.02,0.04,3.986,5,3.8,1.86,-0.9,-0.81,0.53,0.59,0.03,0.1,0,65535,,,1,-24512
