SeqNo,Year,Month,Day,ms,HR,BR,Temp,Posture,Activity,Peak Accel,BattV,BrWaveAmp,ECGAmp,ECGNoise,XAccelMin,XAccelPeak,YAccelMin,YAccelPeak,ZAccelMin,ZAccelPeak,SysCh,GSR,SPO2,BloodPrs,AlmStatus,LEDStatus
0,2016,09,26,73905276,16,13.8,-3276.8,-38,0.03,0.07,3.929,9,8.14,8.84,-0.84,-0.77,0.56,0.68,0.08,0.22,0,65535,,,0,8246
1,2016,09,26,73906275,16,13.8,-3276.8,-38,0.03,0.08,3.929,9,8.14,16.9,-0.87,-0.71,0.55,0.65,0.07,0.18,0,65535,,,0,8246
2,2016,09,26,73907276,16,12.7,-3276.8,-38,0.05,0.2,3.929,8,8.14,18.56,-0.98,-0.69,0.5,0.67,0.02,0.32,0,65535,,,0,8246
3,2016,09,26,73908275,16,12.7,-3276.8,-38,0.03,0.14,3.929,8,8.14,8.92,-0.86,-0.67,0.59,0.69,0.13,0.36,0,65535,,,3,-24522
4,2016,09,26,73909276,16,11.8,-3276.8,-38,0.02,0.09,3.929,8,8.14,7.78,-0.83,-0.77,0.56,0.72,0.04,0.21,0,65535,,,3,-24522
5,2016,09,26,73910275,17,11.8,-3276.8,-37,0.05,0.15,3.929,8,8.14,5.62,-0.96,-0.77,0.53,0.67,0.15,0.2,0,65535,,,0,8246
6,2016,09,26,73911275,17,11.2,-3276.8,-34,0.08,0.12,3.929,7,8.14,5.82,-0.91,-0.77,0.5,0.61,0.1,0.36,0,65535,,,0,-24522
7,2016,09,26,73912276,17,11.2,-3276.8,-15,0.52,0.48,3.929,7,8.14,3.96,-1.02,-0.78,0.02,0.6,0,0.18,0,65535,,,0,8246
8,2016,09,26,73913276,18,11,-3276.8,-13,0.22,0.8,3.929,8,8.14,2.2,-1.02,-0.84,-0.43,0.19,-0.19,0.06,0,65535,,,0,-24522
9,2016,09,26,73914276,18,11,-3276.8,-22,0.24,0.33,3.929,33,8.14,5.14,-1.1,-0.78,0.2,0.55,-0.02,0.22,0,65535,,,0,-24522
10,2016,09,26,73915282,19,10.8,-3276.8,-20,0.14,0.3,3.929,34,8.14,3.5,-0.98,-0.78,0.22,0.61,-0.02,0.19,0,65535,,,3,-24522
11,2016,09,26,73916277,19,10.8,-3276.8,-26,0.19,0.24,3.929,33,8.14,8.8,-1,-0.81,0.2,0.6,-0.15,0.06,0,65535,,,0,8246
12,2016,09,26,73917284,20,10.8,-3276.8,-30,0.13,0.3,3.929,29,8.14,8.82,-0.92,-0.65,0.53,0.69,-0.01,0.16,0,65535,,,0,8246
13,2016,09,26,73918279,20,10.8,-3276.8,-31,0.08,0.18,3.929,27,8.14,13.04,-0.96,-0.77,0.51,0.63,-0.01,0.2,0,65535,,,0,8246
14,2016,09,26,73919279,20,11,-3276.8,-33,0.07,0.16,3.929,23,8.14,9.22,-0.95,-0.67,0.51,0.63,0.07,0.19,0,65535,,,0,8246
15,2016,09,26,73920282,20,11,-3276.8,-33,0.04,0.09,3.929,22,8.14,3.98,-0.95,-0.79,0.48,0.62,0.14,0.18,0,65535,,,0,8246
16,2016,09,26,73921281,20,11.2,-3276.8,-33,0.05,0.06,3.929,22,8.14,5.28,-0.91,-0.79,0.48,0.59,0.14,0.18,0,65535,,,0,8246
17,2016,09,26,73922279,20,11.2,-3276.8,-35,0.17,0.9,3.929,21,8.14,4.3,-1.3,0.08,0.36,1.01,-0.07,0.27,0,65535,,,0,8246
18,2016,09,26,73923279,20,11.5,-3276.8,-35,0.02,0.08,3.929,20,8.14,1.98,-0.92,-0.79,0.53,0.62,0.12,0.18,0,65535,,,0,8246
