SeqNo,Year,Month,Day,ms,HR,BR,Temp,Posture,Activity,Peak Accel,BattV,BrWaveAmp,ECGAmp,ECGNoise,XAccelMin,XAccelPeak,YAccelMin,YAccelPeak,ZAccelMin,ZAccelPeak,SysCh,GSR,SPO2,BloodPrs,AlmStatus,LEDStatus
0,2016,09,26,52594238,93,15.2,-3276.8,-7,0.14,0.1,4.046,17,11.68,7.34,-1.01,-0.89,0.06,0.25,0.01,0.19,0,65535,,,0,8266
1,2016,09,26,52595243,93,15.2,-3276.8,-10,0.23,0.4,4.046,16,11.68,9.7,-1.34,-0.75,-0.27,0.26,0,0.22,0,65535,,,0,8266
2,2016,09,26,52596236,93,14,-3276.8,-12,0.07,0.21,4.046,14,11.68,22.26,-1.04,-0.9,0.04,0.24,0.14,0.34,0,65535,,,0,8266
3,2016,09,26,52597240,93,14,-3276.8,-14,0.07,0.09,4.046,13,11.68,13.58,-0.98,-0.93,0.16,0.22,0.16,0.25,0,65535,,,0,8266
4,2016,09,26,52598241,93,12.9,-3276.8,-24,0.31,0.37,4.046,12,11.68,8.18,-1.02,-0.77,0.2,0.62,0.18,0.37,0,65535,,,0,8266
5,2016,09,26,52599237,93,12.9,-3276.8,-37,0.32,0.46,4.046,11,11.68,4.28,-0.78,-0.59,0.57,0.68,0.19,0.49,0,65535,,,1,-24502
6,2016,09,26,52600241,92,11.9,-3276.8,-43,0.18,0.31,4.046,10,11.68,3.18,-0.68,-0.59,0.63,0.72,0.38,0.46,0,65535,,,1,-24502
7,2016,09,26,52601237,92,11.9,-3276.8,-47,0.09,0.16,4.046,9,11.68,4.54,-0.68,-0.59,0.62,0.74,0.38,0.48,0,65535,,,1,-24502
8,2016,09,26,52602238,92,11.1,-3276.8,-48,0.05,0.1,4.046,8,11.68,3.2,-0.67,-0.6,0.62,0.71,0.38,0.45,0,65535,,,1,-24502
9,2016,09,26,52603242,92,11.1,-3276.8,-48,0.03,0.07,4.046,7,11.68,4.08,-0.67,-0.59,0.62,0.73,0.39,0.45,0,65535,,,1,-24502
10,2016,09,26,52604242,92,10.5,-3276.8,-48,0.03,0.07,4.046,7,11.68,4.36,-0.74,-0.6,0.62,0.72,0.37,0.46,0,65535,,,1,-24502
11,2016,09,26,52605242,92,10.5,-3276.8,-47,0.02,0.07,4.046,6,11.68,4.12,-0.74,-0.63,0.61,0.67,0.38,0.43,0,65535,,,1,-24502
12,2016,09,26,52606242,92,9.9,-3276.8,-47,0.05,0.14,4.046,5,11.68,11.5,-0.77,-0.54,0.6,0.73,0.36,0.46,0,65535,,,0,8266
13,2016,09,26,52607242,92,9.9,-3276.8,-47,0.04,0.13,4.046,7,11.68,13.3,-0.75,-0.6,0.53,0.67,0.38,0.49,0,65535,,,0,8266
14,2016,09,26,52608242,92,9.4,-3276.8,-36,0.29,0.43,4.046,6,11.68,12.04,-1.06,-0.62,0.24,0.67,0.19,0.56,0,65535,,,1,-24502
15,2016,09,26,52609242,92,9.4,-3276.8,-26,0.33,0.72,4.046,8,11.68,7.86,-1.6,-0.59,-0.06,0.51,-0.19,0.49,0,65535,,,0,8266
16,2016,09,26,52610243,91,9.1,-3276.8,-21,0.17,0.44,4.046,11,11.68,4.4,-1.33,-0.5,0.02,0.37,0.19,0.37,0,65535,,,0,-24502
17,2016,09,26,52611243,91,9.1,-3276.8,-16,0.17,0.25,4.046,10,11.68,1.9,-1.02,-0.95,0.01,0.1,0.19,0.32,0,65535,,,0,8266
18,2016,09,26,52612243,91,8.8,-3276.8,-14,0.1,0.15,4.046,10,11.68,3.72,-1.01,-0.96,-0.01,0.06,0.19,0.26,0,65535,,,0,-24502
19,2016,09,26,52613243,91,8.8,-3276.8,-12,0.05,0.09,4.046,9,11.68,2.72,-0.98,-0.95,-0.02,0.03,0.19,0.26,0,65535,,,0,-24502
20,2016,09,26,52614243,91,8.3,-3276.8,-12,0.03,0.06,4.046,8,8.52,2.22,-1.01,-0.95,-0.01,0.03,0.19,0.25,0,65535,,,0,-24502
21,2016,09,26,52615245,91,8.3,-3276.8,-12,0.02,0.14,4.046,9,8.52,4.26,-1.01,-0.95,-0.18,0.03,0.18,0.27,0,65535,,,1,-24502
22,2016,09,26,52616243,91,7.7,-3276.8,-12,0.03,0.07,4.046,9,8.52,6.32,-1,-0.95,-0.07,0.03,0.18,0.3,0,65535,,,0,8266
23,2016,09,26,52617246,91,7.7,-3276.8,-11,0.01,0.07,4.046,8,8.52,7.22,-1.03,-0.95,-0.04,0.06,0.15,0.25,0,65535,,,0,8266
24,2016,09,26,52618244,91,7.3,-3276.8,-11,0.16,0.43,4.046,11,8.52,3.88,-1.32,-0.78,-0.39,0.14,0.03,0.28,0,65535,,,0,-24502
25,2016,09,26,52619242,91,7.3,-3276.8,-18,0.4,0.69,4.046,16,8.52,8.64,-1.66,-0.39,-0.31,0.45,0,0.48,0,65535,,,0,8266
26,2016,09,26,52620244,91,6.9,-3276.8,-26,0.25,0.37,4.046,16,8.52,8.64,-0.9,-0.77,0.37,0.44,0.37,0.51,0,65535,,,0,-24502
27,2016,09,26,52621245,91,6.9,-3276.8,-32,0.15,0.22,4.046,20,8.52,6.28,-0.86,-0.75,0.39,0.48,0.4,0.51,0,65535,,,0,-24502
28,2016,09,26,52622245,91,6.5,-3276.8,-35,0.08,0.15,4.046,19,8.52,5.48,-0.83,-0.77,0.4,0.48,0.42,0.5,0,65535,,,0,-24502
29,2016,09,26,52623245,91,6.5,-3276.8,-37,0.04,0.08,4.046,17,8.52,4,-0.81,-0.78,0.4,0.48,0.42,0.51,0,65535,,,1,-24502
30,2016,09,26,52624245,91,6.2,-3276.8,-37,0.03,0.06,4.046,15,8.52,3.28,-0.8,-0.77,0.4,0.48,0.43,0.51,0,65535,,,1,-24502
31,2016,09,26,52625245,91,6.2,-3276.8,-38,0.02,0.04,4.046,14,8.52,3.66,-0.83,-0.75,0.42,0.49,0.43,0.5,0,65535,,,1,-24502
32,2016,09,26,52626245,91,6,-3276.8,-39,0.02,0.04,4.046,12,8.52,2.98,-0.81,-0.77,0.4,0.49,0.43,0.51,0,65535,,,1,-24502
33,2016,09,26,52627245,91,6,-3276.8,-39,0.01,0.03,4.046,11,8.52,2.4,-0.83,-0.77,0.4,0.48,0.43,0.53,0,65535,,,1,-24502
34,2016,09,26,52628245,90,5.8,-3276.8,-38,0.01,0.06,4.046,9,8.52,2.66,-0.8,-0.78,0.4,0.49,0.42,0.51,0,65535,,,1,-24502
35,2016,09,26,52629245,90,5.8,-3276.8,-39,0.02,0.04,4.046,9,8.52,2.36,-0.8,-0.77,0.4,0.48,0.43,0.53,0,65535,,,1,-24502
36,2016,09,26,52630245,89,5.7,-3276.8,-39,0.01,0.04,4.046,8,8.52,2.26,-0.81,-0.78,0.4,0.49,0.43,0.51,0,65535,,,1,-32694
37,2016,09,26,52631245,89,5.7,-3276.8,-39,0.01,0.04,4.046,8,8.52,2.76,-0.81,-0.78,0.4,0.48,0.42,0.5,0,65535,,,1,-32694
38,2016,09,26,52632245,89,5.1,-3276.8,-39,0.01,0.03,4.046,8,8.52,4.12,-0.81,-0.78,0.42,0.48,0.42,0.51,0,65535,,,1,-32694
39,2016,09,26,52633245,89,5.1,-3276.8,-39,0.02,0.04,4.046,9,8.52,3.68,-0.8,-0.77,0.4,0.48,0.43,0.53,0,65535,,,1,-32694
40,2016,09,26,52634245,88,4.6,-3276.8,-39,0.01,0.04,4.046,9,8.52,3.68,-0.8,-0.77,0.4,0.48,0.43,0.53,0,65535,,,1,-32694
41,2016,09,26,52635245,88,4.6,-3276.8,-39,0.01,0.03,4.046,8,8.52,3.44,-0.81,-0.77,0.39,0.46,0.44,0.53,0,65535,,,1,-32694
42,2016,09,26,52636247,88,4.5,-3276.8,-39,0.01,0.03,4.046,8,8.52,2.2,-0.8,-0.77,0.4,0.48,0.44,0.53,0,65535,,,1,-32694
43,2016,09,26,52637246,88,4.5,-3276.8,-39,0.01,0.03,4.046,8,8.52,1.58,-0.81,-0.75,0.39,0.48,0.43,0.53,0,65535,,,1,-24502
44,2016,09,26,52638246,88,4.3,-3276.8,-39,0.02,0.03,4.046,7,8.52,1.56,-0.81,-0.77,0.4,0.48,0.43,0.51,0,65535,,,1,-24502
45,2016,09,26,52639246,87,4.3,-3276.8,-39,0.01,0.04,4.046,7,8.52,1.72,-0.83,-0.77,0.39,0.46,0.42,0.53,0,65535,,,1,-24502
46,2016,09,26,52640246,87,4.5,-3276.8,-38,0.02,0.04,4.046,7,8.24,2.2,-0.81,-0.77,0.39,0.46,0.42,0.51,0,65535,,,1,-24502
47,2016,09,26,52641246,87,4.5,-3276.8,-39,0.01,0.03,4.046,7,8.24,2.68,-0.81,-0.77,0.4,0.48,0.43,0.5,0,65535,,,1,-24502
48,2016,09,26,52642246,87,4.9,-3276.8,-39,0.01,0.03,4.046,6,8.24,2.18,-0.81,-0.78,0.39,0.46,0.44,0.51,0,65535,,,1,-24502
