SeqNo,Year,Month,Day,ms,HR,BR,Temp,Posture,Activity,Peak Accel,BattV,BrWaveAmp,ECGAmp,ECGNoise,XAccelMin,XAccelPeak,YAccelMin,YAccelPeak,ZAccelMin,ZAccelPeak,SysCh,GSR,SPO2,BloodPrs,AlmStatus,LEDStatus
0,2016,09,26,53503390,0,17.3,-3276.8,13,0.01,0.03,4.04,14,0.8,0.24,-0.98,-0.95,0.21,0.27,-0.12,-0.01,0,65535,,,0,8265
1,2016,09,26,53504391,0,17.3,-3276.8,12,0.02,0.06,4.04,14,0.8,0.14,-0.98,-0.93,0.2,0.28,-0.12,0,0,65535,,,0,8265
2,2016,09,26,53505390,0,17.3,-3276.8,12,0.01,0.03,4.04,15,0.8,0.08,-0.98,-0.96,0.21,0.26,-0.1,-0.02,0,65535,,,0,8265
3,2016,09,26,53506391,0,17.1,-3276.8,13,0.01,0.03,4.04,15,0.8,0.06,-1,-0.95,0.2,0.26,-0.12,-0.03,0,65535,,,0,8265
4,2016,09,26,53507391,0,17.1,-3276.8,14,0.04,0.08,4.04,15,0.8,0.04,-1.07,-0.95,0.19,0.25,-0.12,-0.02,0,65535,,,0,8265
5,2016,09,26,53508391,0,16.6,-3276.8,14,0.05,0.14,4.04,14,0.8,0.02,-1.01,-0.86,0.21,0.37,-0.16,-0.02,0,65535,,,0,8265
6,2016,09,26,53509391,0,16.6,-3276.8,13,0.04,0.08,4.04,13,0.8,0.02,-1,-0.95,0.19,0.25,-0.18,-0.01,0,65535,,,0,8265
7,2016,09,26,53510392,0,16.1,-3276.8,12,0.04,0.09,4.04,11,0.8,0.02,-1.04,-0.96,0.14,0.2,-0.18,0,0,65535,,,0,8265
8,2016,09,26,53511391,0,16.1,-3276.8,11,0.03,0.12,4.04,10,0.8,0.02,-1.01,-0.97,0.02,0.22,-0.07,-0.01,0,65535,,,0,8265
9,2016,09,26,53512393,0,15.7,-3276.8,10,0.01,0.07,4.04,9,0.8,0.02,-1.02,-0.96,0.12,0.2,-0.08,-0.01,0,65535,,,0,8265
10,2016,09,26,53513389,0,15.7,-3276.8,10,0.01,0.04,4.04,8,0.8,0.02,-1,-0.96,0.14,0.2,-0.09,-0.01,0,65535,,,0,8265
11,2016,09,26,53514396,0,15.4,-3276.8,10,0.01,0.03,4.04,7,0.8,0.02,-1,-0.97,0.15,0.2,-0.07,0,0,65535,,,0,8265
12,2016,09,26,53515392,0,15.4,-3276.8,10,0.01,0.03,4.04,7,0.8,0.02,-1,-0.97,0.15,0.2,-0.07,0,0,65535,,,0,8265
13,2016,09,26,53516393,0,14.7,-3276.8,10,0.01,0.03,4.04,6,0.8,0.02,-1,-0.96,0.14,0.21,-0.08,-0.01,0,65535,,,0,8265
14,2016,09,26,53517395,0,14.7,-3276.8,10,0.01,0.03,4.04,5,0.8,0.02,-1,-0.96,0.13,0.21,-0.08,0,0,65535,,,0,8265
15,2016,09,26,53518392,0,14.2,-3276.8,10,0.01,0.03,4.04,5,0.8,0.02,-1,-0.96,0.14,0.2,-0.07,0,0,65535,,,0,8265
16,2016,09,26,53519393,0,14.2,-3276.8,10,0.01,0.03,4.04,5,0.8,0.02,-1,-0.95,0.14,0.21,-0.08,-0.01,0,65535,,,0,8265
17,2016,09,26,53520394,0,13.7,-3276.8,10,0.02,0.07,4.04,5,0.8,0.96,-1,-0.97,0.13,0.2,-0.1,0.01,0,65535,,,0,8265
18,2016,09,26,53521393,57,13.7,-3276.8,10,0.02,0.04,4.04,4,0.8,0.5,-1.03,-0.96,0.13,0.2,-0.12,-0.01,0,65535,,,0,-24503
19,2016,09,26,53522393,53,13.5,-3276.8,10,0.02,0.07,4.04,4,5.864,0.22,-1.02,-0.96,0.14,0.21,-0.13,-0.01,0,65535,,,0,8265
20,2016,09,26,53523395,51,13.5,-3276.8,12,0.04,0.07,4.04,4,5.864,0.1,-1.01,-0.93,0.18,0.26,-0.14,-0.01,0,65535,,,0,8265
21,2016,09,26,53524393,51,13.4,-3276.8,12,0.01,0.07,4.04,4,0,0.04,-0.98,-0.95,0.16,0.22,-0.14,-0.04,0,65535,,,0,8265
22,2016,09,26,53525394,50,13.4,-3276.8,12,0.01,0.12,4.04,4,0,0.06,-0.98,-0.96,0.01,0.22,-0.13,-0.04,0,65535,,,0,8265
23,2016,09,26,53526395,50,13.2,-3276.8,12,0.01,0.1,4.04,4,0.6,0.06,-1,-0.97,0.01,0.2,-0.13,-0.06,0,65535,,,0,8265
24,2016,09,26,53527395,50,13.2,-3276.8,12,0.01,0.03,4.04,4,0.6,0.04,-1.01,-0.95,0.15,0.21,-0.13,-0.04,0,65535,,,0,8265
25,2016,09,26,53528394,50,13.1,-3276.8,12,0.03,0.07,4.04,4,0.08,0.02,-1.01,-0.95,0.18,0.24,-0.1,-0.01,0,65535,,,0,8265
26,2016,09,26,53529394,50,13.1,-3276.8,12,0.02,0.04,4.04,4,0.08,0.02,-1,-0.96,0.19,0.24,-0.08,-0.01,0,65535,,,0,8265
27,2016,09,26,53530395,50,13.3,-3276.8,12,0.01,0.03,4.04,4,0.06,0.02,-1,-0.96,0.2,0.24,-0.08,-0.02,0,65535,,,0,8265
28,2016,09,26,53531395,0,13.3,-3276.8,12,0.01,0.04,4.04,3,0.8,0.02,-1,-0.96,0.2,0.25,-0.1,-0.01,0,65535,,,0,8265
29,2016,09,26,53532396,0,13.5,-3276.8,12,0.01,0.03,4.04,4,0.8,0.02,-1,-0.96,0.19,0.22,-0.09,-0.02,0,65535,,,0,8265
30,2016,09,26,53533401,0,13.5,-3276.8,12,0.01,0.03,4.04,4,0.8,0.02,-1,-0.95,0.19,0.24,-0.09,-0.01,0,65535,,,0,8265
31,2016,09,26,53534401,0,13.6,-3276.8,-11,0.09,0.21,4.04,5,0.8,0.02,-1.13,-0.95,0.15,0.22,-0.06,0.16,0,65535,,,0,8265
32,2016,09,26,53535401,0,13.6,-3276.8,-11,0.05,0.18,4.04,9,0.8,0.02,-1.03,-0.96,0.03,0.22,-0.02,0.13,0,65535,,,0,8265
33,2016,09,26,53536401,0,13.5,-3276.8,-11,0.02,0.06,4.04,10,0.8,0.02,-1,-0.95,0.19,0.25,-0.03,0.07,0,65535,,,0,8265
34,2016,09,26,53537397,0,13.5,-3276.8,12,0.02,0.04,4.04,11,0.8,0.02,-1,-0.96,0.18,0.22,-0.04,0.02,0,65535,,,0,8265
35,2016,09,26,53538401,0,13,-3276.8,12,0.01,0.02,4.04,11,0.8,0.02,-1.01,-0.96,0.19,0.22,-0.03,0.02,0,65535,,,0,8265
36,2016,09,26,53539394,0,13,-3276.8,11,0.01,0.02,4.04,11,0.8,0.02,-1,-0.96,0.18,0.22,-0.03,0.01,0,65535,,,0,8265
37,2016,09,26,53540401,0,12.6,-3276.8,11,0.01,0.12,4.04,9,0.8,0.02,-0.98,-0.96,0.18,0.38,-0.03,0.01,0,65535,,,0,8265
38,2016,09,26,53541401,0,12.6,-3276.8,11,0,0.03,4.04,9,0.8,0.02,-0.98,-0.96,0.18,0.21,-0.06,0.01,0,65535,,,0,8265
39,2016,09,26,53542395,0,12.3,-3276.8,11,0.01,0.02,4.04,8,0.8,0.02,-1,-0.96,0.16,0.22,-0.04,0.01,0,65535,,,0,8265
40,2016,09,26,53543401,0,12.3,-3276.8,11,0,0.02,4.04,7,0.8,0.02,-1,-0.96,0.16,0.22,-0.04,0.01,0,65535,,,0,8265
41,2016,09,26,53544402,0,12.2,-3276.8,11,0,0.02,4.04,7,0.8,0.02,-1,-0.97,0.16,0.21,-0.04,0.01,0,65535,,,0,8265
42,2016,09,26,53545402,0,12.2,-3276.8,11,0.01,0.02,4.04,6,0.8,0.02,-1,-0.96,0.16,0.21,-0.04,0,0,65535,,,0,8265
43,2016,09,26,53546402,0,12.5,-3276.8,11,0.01,0.02,4.04,6,0.8,0.02,-1,-0.96,0.16,0.21,-0.04,0,0,65535,,,0,8265
44,2016,09,26,53547401,0,12.5,-3276.8,11,0.01,0.02,4.04,6,0.8,0.02,-1,-0.96,0.16,0.22,-0.04,0,0,65535,,,0,8265
45,2016,09,26,53548403,0,13.1,-3276.8,11,0.01,0.02,4.04,6,0.8,0.02,-1,-0.96,0.16,0.22,-0.04,0.01,0,65535,,,0,8265
46,2016,09,26,53549404,0,13.1,-3276.8,11,0.01,0.03,4.04,5,0.8,0.02,-1,-0.96,0.15,0.21,-0.06,0,0,65535,,,0,8265
47,2016,09,26,53550403,0,13.5,-3276.8,11,0,0.03,4.04,5,0.8,0.02,-1,-0.96,0.15,0.21,-0.07,0,0,65535,,,0,8265
48,2016,09,26,53551403,0,13.5,-3276.8,11,0.01,0.02,4.04,4,0.8,0.02,-1,-0.96,0.18,0.2,-0.06,0,0,65535,,,0,8265
49,2016,09,26,53552404,0,13.7,-3276.8,11,0.01,0.03,4.04,4,0.8,0.02,-1,-0.95,0.15,0.21,-0.06,0,0,65535,,,0,8265
50,2016,09,26,53553403,0,13.7,-3276.8,11,0.01,0.03,4.04,4,0.8,0.02,-1,-0.96,0.16,0.21,-0.07,0.01,0,65535,,,0,8265
51,2016,09,26,53554404,0,14.4,-3276.8,11,0.01,0.13,4.04,4,0.8,0.02,-1,-0.97,0.16,0.21,-0.06,0.16,0,65535,,,0,8265
52,2016,09,26,53555404,0,14.4,-3276.8,12,0.02,0.06,4.04,5,0.8,0.02,-1.02,-0.95,0.16,0.26,-0.07,0,0,65535,,,0,8265
53,2016,09,26,53556403,0,15.1,-3276.8,12,0.02,0.07,4.04,5,0.8,1.44,-1,-0.95,0.19,0.25,-0.1,0,0,65535,,,0,-24503
54,2016,09,26,53557405,0,15.1,-3276.8,12,0.01,0.06,4.04,5,0.8,0.62,-0.98,-0.93,0.21,0.27,-0.07,-0.01,0,65535,,,0,8265
55,2016,09,26,53558403,0,15.7,-3276.8,13,0.05,0.07,4.04,6,0.8,7.5,-1,-0.95,0.2,0.28,-0.1,-0.01,0,65535,,,0,8265
56,2016,09,26,53559405,0,15.7,-3276.8,14,0.07,0.1,4.04,7,0.8,7.4,-1.01,-0.95,0.19,0.26,-0.19,-0.01,0,65535,,,0,8265
57,2016,09,26,53560405,0,16.2,-3276.8,-6,0.42,0.46,4.04,10,0.8,18.78,-1.32,-0.79,-0.15,0.38,-0.24,0.18,0,65535,,,0,8265
58,2016,09,26,53561405,73,16.2,-3276.8,9,0.14,0.61,4.04,10,0.8,10.56,-1.34,-0.6,-0.42,0.4,-0.16,0.37,0,65535,,,0,-24503
59,2016,09,26,53562405,77,16.7,-3276.8,13,0.11,0.32,4.04,10,11.704,13.96,-1.01,-0.93,0.16,0.39,-0.19,0.07,0,65535,,,0,8265
60,2016,09,26,53563405,79,16.7,-3276.8,15,0.05,0.22,4.04,11,11.704,10.22,-1.03,-0.87,0.21,0.43,-0.16,0.02,0,65535,,,1,-24503
